0,1,2,3,4,5,6,7,8,9,10,11,12,label
-285.69406,101.295296,45.617825,35.972157,23.263992,5.680365,8.957075,1.0578552,-0.61252856,6.6734095,-4.0566444,3.8259404,0.26675004,arabic
-367.71234,62.36553,10.935166,17.549543,2.0964556,-21.188396,-21.860584,-4.1286335,-17.322992,-12.987015,-7.9947667,-6.5878,-4.4297004,arabic
-240.93214,76.43224,-2.8146625,29.900879,-7.8325963,1.1231855,-20.62298,0.9445897,-14.108168,-3.083622,-8.872371,4.8518863,-10.611164,arabic
-326.65857,36.41613,56.680847,32.431423,7.2865963,-13.805539,-5.219785,2.8183253,-25.364363,-6.3881764,-15.834027,4.2515893,-15.36192,arabic
-316.33298,62.70855,50.99479,20.884249,3.6479735,-6.0221763,-2.177568,7.515365,-3.745438,-5.779966,-5.7234173,-3.1476798,-0.8414748,arabic
-350.4501,60.716843,22.185852,54.18537,-2.8356855,17.471518,10.245808,-9.869846,-2.3334465,-9.017629,-4.35054,-0.5223265,-4.9061327,arabic
-324.69998,82.514656,-8.79347,29.333258,-12.9293785,-9.496007,-17.324797,-17.639072,-9.160986,-6.104124,-4.577739,-2.832832,-5.5151443,arabic
-288.40128,102.57415,16.396772,41.286884,16.642578,-2.7762964,-2.639535,0.97787845,-8.493889,-5.111977,-6.363381,-9.240148,-6.037011,arabic
-383.97162,71.87243,17.58237,24.79827,-2.8112307,-11.104579,-28.78647,-16.224894,-18.792252,-17.201332,-8.348662,-8.135763,-12.469778,arabic
-385.911,73.9841,-6.7972307,9.277442,-21.18262,-12.956712,-31.951885,-17.879581,-18.960415,-5.027929,-13.507454,-3.0856965,-8.348207,arabic
-397.88245,55.683735,14.508751,7.0283594,-19.597878,-10.412256,-28.836143,-18.95289,0.26966712,-10.221549,-15.319066,-6.5278516,-0.9747906,arabic
-293.38977,107.05569,0.7782784,47.024868,2.4170227,-20.62068,-15.486318,-5.374425,-19.70503,-6.638445,-14.1931925,1.3918024,-9.730814,arabic
